# t numerical exact difference
0 1 1 0
0.001 1.001 1.001 2.5e-07
0.002 1.002 1.002 5.00125e-07
0.003 1.003 1.003 7.50375e-07
0.004 1.004 1.004 1.00075e-06
0.005 1.005 1.00501 1.25125e-06
0.006 1.00601 1.00601 1.50187e-06
0.007 1.00701 1.00701 1.75262e-06
0.008 1.00801 1.00802 2.00349e-06
0.009 1.00902 1.00902 2.25449e-06
0.01 1.01002 1.01002 2.50561e-06
0.011 1.01103 1.01103 2.75686e-06
0.012 1.01203 1.01204 3.00823e-06
0.013 1.01304 1.01304 3.25973e-06
0.014 1.01405 1.01405 3.51135e-06
0.015 1.01505 1.01506 3.76309e-06
0.016 1.01606 1.01606 4.01496e-06
0.017 1.01707 1.01707 4.26695e-06
0.018 1.01808 1.01808 4.51906e-06
0.019 1.01909 1.01909 4.7713e-06
0.02 1.02009 1.0201 5.02367e-06
0.021 1.0211 1.02111 5.27615e-06
0.022 1.02212 1.02212 5.52876e-06
0.023 1.02313 1.02313 5.7815e-06
0.024 1.02414 1.02414 6.03436e-06
0.025 1.02515 1.02516 6.28734e-06
0.026 1.02616 1.02617 6.54044e-06
0.027 1.02718 1.02718 6.79367e-06
0.028 1.02819 1.0282 7.04702e-06
0.029 1.0292 1.02921 7.3005e-06
0.03 1.03022 1.03022 7.5541e-06
0.031 1.03123 1.03124 7.80782e-06
0.032 1.03225 1.03226 8.06166e-06
0.033 1.03326 1.03327 8.31563e-06
0.034 1.03428 1.03429 8.56972e-06
0.035 1.0353 1.03531 8.82393e-06
0.036 1.03631 1.03632 9.07827e-06
0.037 1.03733 1.03734 9.33273e-06
0.038 1.03835 1.03836 9.58731e-06
0.039 1.03937 1.03938 9.84201e-06
0.04 1.04039 1.0404 1.00968e-05
0.041 1.04141 1.04142 1.03518e-05
0.042 1.04243 1.04244 1.06069e-05
0.043 1.04345 1.04346 1.08621e-05
0.044 1.04447 1.04448 1.11174e-05
0.045 1.04549 1.04551 1.13728e-05
0.046 1.04652 1.04653 1.16284e-05
0.047 1.04754 1.04755 1.18841e-05
0.048 1.04856 1.04858 1.21399e-05
0.049 1.04959 1.0496 1.23958e-05
0.05 1.05061 1.05062 1.26518e-05
0.051 1.05164 1.05165 1.2908e-05
0.052 1.05266 1.05268 1.31643e-05
0.053 1.05369 1.0537 1.34207e-05
0.054 1.05472 1.05473 1.36773e-05
0.055 1.05574 1.05576 1.39339e-05
0.056 1.05677 1.05678 1.41907e-05
0.057 1.0578 1.05781 1.44476e-05
0.058 1.05883 1.05884 1.47046e-05
0.059 1.05986 1.05987 1.49618e-05
0.06 1.06088 1.0609 1.5219e-05
0.061 1.06191 1.06193 1.54764e-05
0.062 1.06295 1.06296 1.57339e-05
0.063 1.06398 1.06399 1.59916e-05
0.064 1.06501 1.06502 1.62493e-05
0.065 1.06604 1.06606 1.65072e-05
0.066 1.06707 1.06709 1.67652e-05
0.067 1.06811 1.06812 1.70233e-05
0.068 1.06914 1.06916 1.72815e-05
0.069 1.07017 1.07019 1.75399e-05
0.07 1.07121 1.07122 1.77984e-05
0.071 1.07224 1.07226 1.8057e-05
0.072 1.07328 1.0733 1.83157e-05
0.073 1.07431 1.07433 1.85745e-05
0.074 1.07535 1.07537 1.88335e-05
0.075 1.07639 1.07641 1.90926e-05
0.076 1.07742 1.07744 1.93518e-05
0.077 1.07846 1.07848 1.96111e-05
0.078 1.0795 1.07952 1.98705e-05
0.079 1.08054 1.08056 2.01301e-05
0.08 1.08158 1.0816 2.03898e-05
0.081 1.08262 1.08264 2.06496e-05
0.082 1.08366 1.08368 2.09095e-05
0.083 1.0847 1.08472 2.11695e-05
0.084 1.08574 1.08576 2.14297e-05
0.085 1.08678 1.08681 2.169e-05
0.086 1.08783 1.08785 2.19504e-05
0.087 1.08887 1.08889 2.22109e-05
0.088 1.08991 1.08994 2.24716e-05
0.089 1.09096 1.09098 2.27323e-05
0.09 1.092 1.09202 2.29932e-05
0.091 1.09305 1.09307 2.32542e-05
0.092 1.09409 1.09412 2.35153e-05
0.093 1.09514 1.09516 2.37766e-05
0.094 1.09618 1.09621 2.40379e-05
0.095 1.09723 1.09726 2.42994e-05
0.096 1.09828 1.0983 2.4561e-05
0.097 1.09933 1.09935 2.48227e-05
0.098 1.10038 1.1004 2.50846e-05
0.099 1.10142 1.10145 2.53465e-05
0.1 1.10247 1.1025 2.56086e-05
0.101 1.10352 1.10355 2.58708e-05
0.102 1.10457 1.1046 2.61331e-05
0.103 1.10563 1.10565 2.63955e-05
0.104 1.10668 1.1067 2.66581e-05
0.105 1.10773 1.10776 2.69208e-05
0.106 1.10878 1.10881 2.71835e-05
0.107 1.10983 1.10986 2.74464e-05
0.108 1.11089 1.11092 2.77095e-05
0.109 1.11194 1.11197 2.79726e-05
0.11 1.113 1.11302 2.82359e-05
0.111 1.11405 1.11408 2.84993e-05
0.112 1.11511 1.11514 2.87628e-05
0.113 1.11616 1.11619 2.90264e-05
0.114 1.11722 1.11725 2.92901e-05
0.115 1.11828 1.11831 2.9554e-05
0.116 1.11933 1.11936 2.9818e-05
0.117 1.12039 1.12042 3.0082e-05
0.118 1.12145 1.12148 3.03463e-05
0.119 1.12251 1.12254 3.06106e-05
0.12 1.12357 1.1236 3.0875e-05
0.121 1.12463 1.12466 3.11396e-05
0.122 1.12569 1.12572 3.14043e-05
0.123 1.12675 1.12678 3.16691e-05
0.124 1.12781 1.12784 3.1934e-05
0.125 1.12887 1.12891 3.2199e-05
0.126 1.12994 1.12997 3.24642e-05
0.127 1.131 1.13103 3.27294e-05
0.128 1.13206 1.1321 3.29948e-05
0.129 1.13313 1.13316 3.32603e-05
0.13 1.13419 1.13422 3.3526e-05
0.131 1.13526 1.13529 3.37917e-05
0.132 1.13632 1.13636 3.40576e-05
0.133 1.13739 1.13742 3.43235e-05
0.134 1.13845 1.13849 3.45896e-05
0.135 1.13952 1.13956 3.48558e-05
0.136 1.14059 1.14062 3.51222e-05
0.137 1.14166 1.14169 3.53886e-05
0.138 1.14273 1.14276 3.56552e-05
0.139 1.14379 1.14383 3.59218e-05
0.14 1.14486 1.1449 3.61886e-05
0.141 1.14593 1.14597 3.64555e-05
0.142 1.147 1.14704 3.67226e-05
0.143 1.14808 1.14811 3.69897e-05
0.144 1.14915 1.14918 3.7257e-05
0.145 1.15022 1.15026 3.75244e-05
0.146 1.15129 1.15133 3.77918e-05
0.147 1.15236 1.1524 3.80595e-05
0.148 1.15344 1.15348 3.83272e-05
0.149 1.15451 1.15455 3.8595e-05
0.15 1.15559 1.15562 3.8863e-05
0.151 1.15666 1.1567 3.91311e-05
0.152 1.15774 1.15778 3.93993e-05
0.153 1.15881 1.15885 3.96676e-05
0.154 1.15989 1.15993 3.9936e-05
0.155 1.16097 1.16101 4.02045e-05
0.156 1.16204 1.16208 4.04732e-05
0.157 1.16312 1.16316 4.0742e-05
0.158 1.1642 1.16424 4.10108e-05
0.159 1.16528 1.16532 4.12799e-05
0.16 1.16636 1.1664 4.1549e-05
0.161 1.16744 1.16748 4.18182e-05
0.162 1.16852 1.16856 4.20876e-05
0.163 1.1696 1.16964 4.2357e-05
0.164 1.17068 1.17072 4.26266e-05
0.165 1.17176 1.17181 4.28963e-05
0.166 1.17285 1.17289 4.31661e-05
0.167 1.17393 1.17397 4.34361e-05
0.168 1.17501 1.17506 4.37061e-05
0.169 1.1761 1.17614 4.39763e-05
0.17 1.17718 1.17722 4.42465e-05
0.171 1.17827 1.17831 4.45169e-05
0.172 1.17935 1.1794 4.47874e-05
0.173 1.18044 1.18048 4.5058e-05
0.174 1.18152 1.18157 4.53288e-05
0.175 1.18261 1.18266 4.55996e-05
0.176 1.1837 1.18374 4.58706e-05
0.177 1.18479 1.18483 4.61417e-05
0.178 1.18587 1.18592 4.64129e-05
0.179 1.18696 1.18701 4.66842e-05
0.18 1.18805 1.1881 4.69556e-05
0.181 1.18914 1.18919 4.72271e-05
0.182 1.19023 1.19028 4.74988e-05
0.183 1.19132 1.19137 4.77706e-05
0.184 1.19242 1.19246 4.80425e-05
0.185 1.19351 1.19356 4.83145e-05
0.186 1.1946 1.19465 4.85866e-05
0.187 1.19569 1.19574 4.88588e-05
0.188 1.19679 1.19684 4.91311e-05
0.189 1.19788 1.19793 4.94036e-05
0.19 1.19898 1.19903 4.96762e-05
0.191 1.20007 1.20012 4.99488e-05
0.192 1.20117 1.20122 5.02216e-05
0.193 1.20226 1.20231 5.04945e-05
0.194 1.20336 1.20341 5.07676e-05
0.195 1.20446 1.20451 5.10407e-05
0.196 1.20555 1.2056 5.1314e-05
0.197 1.20665 1.2067 5.15873e-05
0.198 1.20775 1.2078 5.18608e-05
0.199 1.20885 1.2089 5.21344e-05
0.2 1.20995 1.21 5.24081e-05
0.201 1.21105 1.2111 5.26819e-05
0.202 1.21215 1.2122 5.29559e-05
0.203 1.21325 1.2133 5.32299e-05
0.204 1.21435 1.2144 5.35041e-05
0.205 1.21545 1.21551 5.37784e-05
0.206 1.21655 1.21661 5.40528e-05
0.207 1.21766 1.21771 5.43273e-05
0.208 1.21876 1.21882 5.46019e-05
0.209 1.21987 1.21992 5.48766e-05
0.21 1.22097 1.22103 5.51514e-05
0.211 1.22207 1.22213 5.54264e-05
0.212 1.22318 1.22324 5.57015e-05
0.213 1.22429 1.22434 5.59767e-05
0.214 1.22539 1.22545 5.62519e-05
0.215 1.2265 1.22656 5.65274e-05
0.216 1.22761 1.22766 5.68029e-05
0.217 1.22872 1.22877 5.70785e-05
0.218 1.22982 1.22988 5.73543e-05
0.219 1.23093 1.23099 5.76301e-05
0.22 1.23204 1.2321 5.79061e-05
0.221 1.23315 1.23321 5.81822e-05
0.222 1.23426 1.23432 5.84584e-05
0.223 1.23537 1.23543 5.87347e-05
0.224 1.23648 1.23654 5.90111e-05
0.225 1.2376 1.23766 5.92876e-05
0.226 1.23871 1.23877 5.95643e-05
0.227 1.23982 1.23988 5.9841e-05
0.228 1.24094 1.241 6.01179e-05
0.229 1.24205 1.24211 6.03949e-05
0.23 1.24316 1.24323 6.0672e-05
0.231 1.24428 1.24434 6.09492e-05
0.232 1.24539 1.24546 6.12265e-05
0.233 1.24651 1.24657 6.15039e-05
0.234 1.24763 1.24769 6.17815e-05
0.235 1.24874 1.24881 6.20591e-05
0.236 1.24986 1.24992 6.23369e-05
0.237 1.25098 1.25104 6.26148e-05
0.238 1.2521 1.25216 6.28928e-05
0.239 1.25322 1.25328 6.31709e-05
0.24 1.25434 1.2544 6.34491e-05
0.241 1.25546 1.25552 6.37274e-05
0.242 1.25658 1.25664 6.40059e-05
0.243 1.2577 1.25776 6.42844e-05
0.244 1.25882 1.25888 6.45631e-05
0.245 1.25994 1.26001 6.48418e-05
0.246 1.26106 1.26113 6.51207e-05
0.247 1.26219 1.26225 6.53997e-05
0.248 1.26331 1.26338 6.56788e-05
0.249 1.26443 1.2645 6.5958e-05
0.25 1.26556 1.26562 6.62374e-05
0.251 1.26668 1.26675 6.65168e-05
0.252 1.26781 1.26788 6.67964e-05
0.253 1.26894 1.269 6.7076e-05
0.254 1.27006 1.27013 6.73558e-05
0.255 1.27119 1.27126 6.76357e-05
0.256 1.27232 1.27238 6.79157e-05
0.257 1.27344 1.27351 6.81958e-05
0.258 1.27457 1.27464 6.8476e-05
0.259 1.2757 1.27577 6.87563e-05
0.26 1.27683 1.2769 6.90368e-05
0.261 1.27796 1.27803 6.93173e-05
0.262 1.27909 1.27916 6.9598e-05
0.263 1.28022 1.28029 6.98787e-05
0.264 1.28135 1.28142 7.01596e-05
0.265 1.28249 1.28256 7.04406e-05
0.266 1.28362 1.28369 7.07217e-05
0.267 1.28475 1.28482 7.10029e-05
0.268 1.28588 1.28596 7.12842e-05
0.269 1.28702 1.28709 7.15657e-05
0.27 1.28815 1.28822 7.18472e-05
0.271 1.28929 1.28936 7.21289e-05
0.272 1.29042 1.2905 7.24106e-05
0.273 1.29156 1.29163 7.26925e-05
0.274 1.2927 1.29277 7.29745e-05
0.275 1.29383 1.29391 7.32566e-05
0.276 1.29497 1.29504 7.35388e-05
0.277 1.29611 1.29618 7.38211e-05
0.278 1.29725 1.29732 7.41035e-05
0.279 1.29839 1.29846 7.4386e-05
0.28 1.29953 1.2996 7.46687e-05
0.281 1.30067 1.30074 7.49514e-05
0.282 1.30181 1.30188 7.52343e-05
0.283 1.30295 1.30302 7.55172e-05
0.284 1.30409 1.30416 7.58003e-05
0.285 1.30523 1.30531 7.60835e-05
0.286 1.30637 1.30645 7.63668e-05
0.287 1.30752 1.30759 7.66502e-05
0.288 1.30866 1.30874 7.69337e-05
0.289 1.3098 1.30988 7.72174e-05
0.29 1.31095 1.31103 7.75011e-05
0.291 1.31209 1.31217 7.77849e-05
0.292 1.31324 1.31332 7.80689e-05
0.293 1.31438 1.31446 7.83529e-05
0.294 1.31553 1.31561 7.86371e-05
0.295 1.31668 1.31676 7.89214e-05
0.296 1.31782 1.3179 7.92058e-05
0.297 1.31897 1.31905 7.94903e-05
0.298 1.32012 1.3202 7.97749e-05
0.299 1.32127 1.32135 8.00596e-05
0.3 1.32242 1.3225 8.03444e-05
0.301 1.32357 1.32365 8.06294e-05
0.302 1.32472 1.3248 8.09144e-05
0.303 1.32587 1.32595 8.11996e-05
0.304 1.32702 1.3271 8.14848e-05
0.305 1.32817 1.32826 8.17702e-05
0.306 1.32933 1.32941 8.20557e-05
0.307 1.33048 1.33056 8.23412e-05
0.308 1.33163 1.33172 8.26269e-05
0.309 1.33279 1.33287 8.29127e-05
0.31 1.33394 1.33403 8.31986e-05
0.311 1.3351 1.33518 8.34847e-05
0.312 1.33625 1.33634 8.37708e-05
0.313 1.33741 1.33749 8.4057e-05
0.314 1.33856 1.33865 8.43434e-05
0.315 1.33972 1.33981 8.46298e-05
0.316 1.34088 1.34096 8.49164e-05
0.317 1.34204 1.34212 8.5203e-05
0.318 1.3432 1.34328 8.54898e-05
0.319 1.34435 1.34444 8.57767e-05
0.32 1.34551 1.3456 8.60637e-05
0.321 1.34667 1.34676 8.63508e-05
0.322 1.34783 1.34792 8.6638e-05
0.323 1.349 1.34908 8.69253e-05
0.324 1.35016 1.35024 8.72127e-05
0.325 1.35132 1.35141 8.75002e-05
0.326 1.35248 1.35257 8.77879e-05
0.327 1.35364 1.35373 8.80756e-05
0.328 1.35481 1.3549 8.83635e-05
0.329 1.35597 1.35606 8.86514e-05
0.33 1.35714 1.35723 8.89395e-05
0.331 1.3583 1.35839 8.92277e-05
0.332 1.35947 1.35956 8.95159e-05
0.333 1.36063 1.36072 8.98043e-05
0.334 1.3618 1.36189 9.00928e-05
0.335 1.36297 1.36306 9.03814e-05
0.336 1.36413 1.36422 9.06701e-05
0.337 1.3653 1.36539 9.09589e-05
0.338 1.36647 1.36656 9.12479e-05
0.339 1.36764 1.36773 9.15369e-05
0.34 1.36881 1.3689 9.1826e-05
0.341 1.36998 1.37007 9.21153e-05
0.342 1.37115 1.37124 9.24046e-05
0.343 1.37232 1.37241 9.26941e-05
0.344 1.37349 1.37358 9.29836e-05
0.345 1.37466 1.37476 9.32733e-05
0.346 1.37584 1.37593 9.35631e-05
0.347 1.37701 1.3771 9.3853e-05
0.348 1.37818 1.37828 9.4143e-05
0.349 1.37936 1.37945 9.44331e-05
0.35 1.38053 1.38063 9.47233e-05
0.351 1.38171 1.3818 9.50136e-05
0.352 1.38288 1.38298 9.5304e-05
0.353 1.38406 1.38415 9.55945e-05
0.354 1.38523 1.38533 9.58851e-05
0.355 1.38641 1.38651 9.61759e-05
0.356 1.38759 1.38768 9.64667e-05
0.357 1.38877 1.38886 9.67576e-05
0.358 1.38994 1.39004 9.70487e-05
0.359 1.39112 1.39122 9.73399e-05
0.36 1.3923 1.3924 9.76311e-05
0.361 1.39348 1.39358 9.79225e-05
0.362 1.39466 1.39476 9.8214e-05
0.363 1.39584 1.39594 9.85055e-05
0.364 1.39703 1.39712 9.87972e-05
0.365 1.39821 1.39831 9.9089e-05
0.366 1.39939 1.39949 9.93809e-05
0.367 1.40057 1.40067 9.96729e-05
0.368 1.40176 1.40186 9.9965e-05
0.369 1.40294 1.40304 0.000100257
0.37 1.40412 1.40423 0.00010055
0.371 1.40531 1.40541 0.000100842
0.372 1.40649 1.4066 0.000101135
0.373 1.40768 1.40778 0.000101427
0.374 1.40887 1.40897 0.00010172
0.375 1.41005 1.41016 0.000102013
0.376 1.41124 1.41134 0.000102306
0.377 1.41243 1.41253 0.000102599
0.378 1.41362 1.41372 0.000102892
0.379 1.41481 1.41491 0.000103185
0.38 1.416 1.4161 0.000103479
0.381 1.41719 1.41729 0.000103772
0.382 1.41838 1.41848 0.000104066
0.383 1.41957 1.41967 0.000104359
0.384 1.42076 1.42086 0.000104653
0.385 1.42195 1.42206 0.000104947
0.386 1.42314 1.42325 0.000105241
0.387 1.42434 1.42444 0.000105535
0.388 1.42553 1.42564 0.000105829
0.389 1.42672 1.42683 0.000106124
0.39 1.42792 1.42803 0.000106418
0.391 1.42911 1.42922 0.000106713
0.392 1.43031 1.43042 0.000107007
0.393 1.4315 1.43161 0.000107302
0.394 1.4327 1.43281 0.000107597
0.395 1.4339 1.43401 0.000107892
0.396 1.4351 1.4352 0.000108187
0.397 1.43629 1.4364 0.000108482
0.398 1.43749 1.4376 0.000108777
0.399 1.43869 1.4388 0.000109073
0.4 1.43989 1.44 0.000109368
0.401 1.44109 1.4412 0.000109664
0.402 1.44229 1.4424 0.000109959
0.403 1.44349 1.4436 0.000110255
0.404 1.44469 1.4448 0.000110551
0.405 1.4459 1.44601 0.000110847
0.406 1.4471 1.44721 0.000111143
0.407 1.4483 1.44841 0.000111439
0.408 1.4495 1.44962 0.000111736
0.409 1.45071 1.45082 0.000112032
0.41 1.45191 1.45203 0.000112328
0.411 1.45312 1.45323 0.000112625
0.412 1.45432 1.45444 0.000112922
0.413 1.45553 1.45564 0.000113219
0.414 1.45674 1.45685 0.000113516
0.415 1.45794 1.45806 0.000113813
0.416 1.45915 1.45926 0.00011411
0.417 1.46036 1.46047 0.000114407
0.418 1.46157 1.46168 0.000114704
0.419 1.46278 1.46289 0.000115002
0.42 1.46398 1.4641 0.000115299
0.421 1.46519 1.46531 0.000115597
0.422 1.46641 1.46652 0.000115895
0.423 1.46762 1.46773 0.000116192
0.424 1.46883 1.46894 0.00011649
0.425 1.47004 1.47016 0.000116788
0.426 1.47125 1.47137 0.000117087
0.427 1.47246 1.47258 0.000117385
0.428 1.47368 1.4738 0.000117683
0.429 1.47489 1.47501 0.000117982
0.43 1.47611 1.47623 0.00011828
0.431 1.47732 1.47744 0.000118579
0.432 1.47854 1.47866 0.000118878
0.433 1.47975 1.47987 0.000119177
0.434 1.48097 1.48109 0.000119476
0.435 1.48219 1.48231 0.000119775
0.436 1.4834 1.48352 0.000120074
0.437 1.48462 1.48474 0.000120373
0.438 1.48584 1.48596 0.000120673
0.439 1.48706 1.48718 0.000120972
0.44 1.48828 1.4884 0.000121272
0.441 1.4895 1.48962 0.000121571
0.442 1.49072 1.49084 0.000121871
0.443 1.49194 1.49206 0.000122171
0.444 1.49316 1.49328 0.000122471
0.445 1.49438 1.49451 0.000122771
0.446 1.49561 1.49573 0.000123071
0.447 1.49683 1.49695 0.000123372
0.448 1.49805 1.49818 0.000123672
0.449 1.49928 1.4994 0.000123973
0.45 1.5005 1.50063 0.000124273
0.451 1.50173 1.50185 0.000124574
0.452 1.50295 1.50308 0.000124875
0.453 1.50418 1.5043 0.000125176
0.454 1.5054 1.50553 0.000125477
0.455 1.50663 1.50676 0.000125778
0.456 1.50786 1.50798 0.000126079
0.457 1.50909 1.50921 0.000126381
0.458 1.51031 1.51044 0.000126682
0.459 1.51154 1.51167 0.000126984
0.46 1.51277 1.5129 0.000127285
0.461 1.514 1.51413 0.000127587
0.462 1.51523 1.51536 0.000127889
0.463 1.51646 1.51659 0.000128191
0.464 1.5177 1.51782 0.000128493
0.465 1.51893 1.51906 0.000128795
0.466 1.52016 1.52029 0.000129097
0.467 1.52139 1.52152 0.000129399
0.468 1.52263 1.52276 0.000129702
0.469 1.52386 1.52399 0.000130005
0.47 1.52509 1.52523 0.000130307
0.471 1.52633 1.52646 0.00013061
0.472 1.52757 1.5277 0.000130913
0.473 1.5288 1.52893 0.000131216
0.474 1.53004 1.53017 0.000131519
0.475 1.53127 1.53141 0.000131822
0.476 1.53251 1.53264 0.000132125
0.477 1.53375 1.53388 0.000132429
0.478 1.53499 1.53512 0.000132732
0.479 1.53623 1.53636 0.000133036
0.48 1.53747 1.5376 0.000133339
0.481 1.53871 1.53884 0.000133643
0.482 1.53995 1.54008 0.000133947
0.483 1.54119 1.54132 0.000134251
0.484 1.54243 1.54256 0.000134555
0.485 1.54367 1.54381 0.000134859
0.486 1.54491 1.54505 0.000135163
0.487 1.54616 1.54629 0.000135468
0.488 1.5474 1.54754 0.000135772
0.489 1.54864 1.54878 0.000136077
0.49 1.54989 1.55003 0.000136381
0.491 1.55113 1.55127 0.000136686
0.492 1.55238 1.55252 0.000136991
0.493 1.55362 1.55376 0.000137296
0.494 1.55487 1.55501 0.000137601
0.495 1.55612 1.55626 0.000137906
0.496 1.55737 1.5575 0.000138212
0.497 1.55861 1.55875 0.000138517
0.498 1.55986 1.56 0.000138822
0.499 1.56111 1.56125 0.000139128
0.5 1.56236 1.5625 0.000139434
0.501 1.56361 1.56375 0.000139739
0.502 1.56486 1.565 0.000140045
0.503 1.56611 1.56625 0.000140351
0.504 1.56736 1.5675 0.000140657
0.505 1.56862 1.56876 0.000140964
0.506 1.56987 1.57001 0.00014127
0.507 1.57112 1.57126 0.000141576
0.508 1.57237 1.57252 0.000141883
0.509 1.57363 1.57377 0.000142189
0.51 1.57488 1.57503 0.000142496
0.511 1.57614 1.57628 0.000142803
0.512 1.57739 1.57754 0.00014311
0.513 1.57865 1.57879 0.000143417
0.514 1.57991 1.58005 0.000143724
0.515 1.58116 1.58131 0.000144031
0.516 1.58242 1.58256 0.000144338
0.517 1.58368 1.58382 0.000144645
0.518 1.58494 1.58508 0.000144953
0.519 1.58619 1.58634 0.00014526
0.52 1.58745 1.5876 0.000145568
0.521 1.58871 1.58886 0.000145876
0.522 1.58997 1.59012 0.000146184
0.523 1.59124 1.59138 0.000146492
0.524 1.5925 1.59264 0.0001468
0.525 1.59376 1.59391 0.000147108
0.526 1.59502 1.59517 0.000147416
0.527 1.59628 1.59643 0.000147725
0.528 1.59755 1.5977 0.000148033
0.529 1.59881 1.59896 0.000148342
0.53 1.60008 1.60023 0.00014865
0.531 1.60134 1.60149 0.000148959
0.532 1.60261 1.60276 0.000149268
0.533 1.60387 1.60402 0.000149577
0.534 1.60514 1.60529 0.000149886
0.535 1.60641 1.60656 0.000150195
0.536 1.60767 1.60782 0.000150504
0.537 1.60894 1.60909 0.000150814
0.538 1.61021 1.61036 0.000151123
0.539 1.61148 1.61163 0.000151433
0.54 1.61275 1.6129 0.000151742
0.541 1.61402 1.61417 0.000152052
0.542 1.61529 1.61544 0.000152362
0.543 1.61656 1.61671 0.000152672
0.544 1.61783 1.61798 0.000152982
0.545 1.6191 1.61926 0.000153292
0.546 1.62038 1.62053 0.000153602
0.547 1.62165 1.6218 0.000153913
0.548 1.62292 1.62308 0.000154223
0.549 1.6242 1.62435 0.000154534
0.55 1.62547 1.62563 0.000154844
0.551 1.62675 1.6269 0.000155155
0.552 1.62802 1.62818 0.000155466
0.553 1.6293 1.62945 0.000155777
0.554 1.63057 1.63073 0.000156088
0.555 1.63185 1.63201 0.000156399
0.556 1.63313 1.63328 0.00015671
0.557 1.63441 1.63456 0.000157021
0.558 1.63568 1.63584 0.000157333
0.559 1.63696 1.63712 0.000157644
0.56 1.63824 1.6384 0.000157956
0.561 1.63952 1.63968 0.000158267
0.562 1.6408 1.64096 0.000158579
0.563 1.64208 1.64224 0.000158891
0.564 1.64336 1.64352 0.000159203
0.565 1.64465 1.64481 0.000159515
0.566 1.64593 1.64609 0.000159827
0.567 1.64721 1.64737 0.00016014
0.568 1.6485 1.64866 0.000160452
0.569 1.64978 1.64994 0.000160765
0.57 1.65106 1.65123 0.000161077
0.571 1.65235 1.65251 0.00016139
0.572 1.65363 1.6538 0.000161703
0.573 1.65492 1.65508 0.000162016
0.574 1.65621 1.65637 0.000162328
0.575 1.65749 1.65766 0.000162642
0.576 1.65878 1.65894 0.000162955
0.577 1.66007 1.66023 0.000163268
0.578 1.66136 1.66152 0.000163581
0.579 1.66265 1.66281 0.000163895
0.58 1.66394 1.6641 0.000164208
0.581 1.66523 1.66539 0.000164522
0.582 1.66652 1.66668 0.000164836
0.583 1.66781 1.66797 0.00016515
0.584 1.6691 1.66926 0.000165464
0.585 1.67039 1.67056 0.000165778
0.586 1.67168 1.67185 0.000166092
0.587 1.67298 1.67314 0.000166406
0.588 1.67427 1.67444 0.00016672
0.589 1.67556 1.67573 0.000167035
0.59 1.67686 1.67703 0.000167349
0.591 1.67815 1.67832 0.000167664
0.592 1.67945 1.67962 0.000167979
0.593 1.68074 1.68091 0.000168293
0.594 1.68204 1.68221 0.000168608
0.595 1.68334 1.68351 0.000168923
0.596 1.68463 1.6848 0.000169238
0.597 1.68593 1.6861 0.000169554
0.598 1.68723 1.6874 0.000169869
0.599 1.68853 1.6887 0.000170184
0.6 1.68983 1.69 0.0001705
0.601 1.69113 1.6913 0.000170815
0.602 1.69243 1.6926 0.000171131
0.603 1.69373 1.6939 0.000171447
0.604 1.69503 1.6952 0.000171763
0.605 1.69633 1.69651 0.000172079
0.606 1.69764 1.69781 0.000172395
0.607 1.69894 1.69911 0.000172711
0.608 1.70024 1.70042 0.000173027
0.609 1.70155 1.70172 0.000173343
0.61 1.70285 1.70303 0.00017366
0.611 1.70416 1.70433 0.000173976
0.612 1.70546 1.70564 0.000174293
0.613 1.70677 1.70694 0.00017461
0.614 1.70807 1.70825 0.000174927
0.615 1.70938 1.70956 0.000175243
0.616 1.71069 1.71086 0.00017556
0.617 1.712 1.71217 0.000175878
0.618 1.7133 1.71348 0.000176195
0.619 1.71461 1.71479 0.000176512
0.62 1.71592 1.7161 0.000176829
0.621 1.71723 1.71741 0.000177147
0.622 1.71854 1.71872 0.000177465
0.623 1.71985 1.72003 0.000177782
0.624 1.72117 1.72134 0.0001781
0.625 1.72248 1.72266 0.000178418
0.626 1.72379 1.72397 0.000178736
0.627 1.7251 1.72528 0.000179054
0.628 1.72642 1.7266 0.000179372
0.629 1.72773 1.72791 0.00017969
0.63 1.72904 1.72923 0.000180009
0.631 1.73036 1.73054 0.000180327
0.632 1.73168 1.73186 0.000180646
0.633 1.73299 1.73317 0.000180964
0.634 1.73431 1.73449 0.000181283
0.635 1.73562 1.73581 0.000181602
0.636 1.73694 1.73712 0.000181921
0.637 1.73826 1.73844 0.00018224
0.638 1.73958 1.73976 0.000182559
0.639 1.7409 1.74108 0.000182878
0.64 1.74222 1.7424 0.000183197
0.641 1.74354 1.74372 0.000183517
0.642 1.74486 1.74504 0.000183836
0.643 1.74618 1.74636 0.000184156
0.644 1.7475 1.74768 0.000184476
0.645 1.74882 1.74901 0.000184795
0.646 1.75014 1.75033 0.000185115
0.647 1.75147 1.75165 0.000185435
0.648 1.75279 1.75298 0.000185755
0.649 1.75411 1.7543 0.000186075
0.65 1.75544 1.75563 0.000186396
0.651 1.75676 1.75695 0.000186716
0.652 1.75809 1.75828 0.000187036
0.653 1.75941 1.7596 0.000187357
0.654 1.76074 1.76093 0.000187678
0.655 1.76207 1.76226 0.000187998
0.656 1.7634 1.76358 0.000188319
0.657 1.76472 1.76491 0.00018864
0.658 1.76605 1.76624 0.000188961
0.659 1.76738 1.76757 0.000189282
0.66 1.76871 1.7689 0.000189603
0.661 1.77004 1.77023 0.000189925
0.662 1.77137 1.77156 0.000190246
0.663 1.7727 1.77289 0.000190567
